Event,Favorite,Underdog,Winner,odds_delta,delta_height,delta_reach,delta_SLPM,delta_Str Acc,delta_SApm,delta_Str. Def,delta_TD Avg,delta_TD Acc,delta_TD Def,delta_Sub Avg,delta_age
UFC 263,Belal Muhammad,Demian Maia,Favorite,-1.72,-2,0,2.75,0,1.57,-0.07,-0.52,0.1,0.32,-0.8,-11
UFC 263,Jamahal Hill,Paul Craig,Underdog,-2.18,1,3,4.72,0.08,0.53,0.02,-1.68,-0.2,0.36,-1.6,-3
UFC 263,Drew Dober,Brad Riddell,Underdog,-0.49,1,-1,-0.38,-0.13,0.7,-0.03,-1.06,-0.18,-0.07,0.1,3
UFC 263,Eryk Anders,Darren Stewart,Favorite,-0.64,1,1,0.36,0.01,0.87,0.02,0.04,-0.19,0.12,0,4
UFC 263,Joanne Wood,Lauren Murphy,Underdog,-0.63,1,-2,3.05,0.12,-0.37,-0.05,0.49,0.3,-0.11,0.2,-2
UFC 263,Movsar Evloev,Hakeem Dawodu,Favorite,-1.57,-1,-1,-1.03,-0.03,-0.48,0.04,4.75,0.46,0.05,0.2,-2
UFC 263,Pannie Kianzad,Alexis Davis,Favorite,-1.26,1,-2,0.11,0,-0.79,-0.02,-0.49,-0.11,0.32,-0.6,-7
UFC 263,Matt Frevola,Terrance McKinney,Underdog,-1.87,-1,-2,-0.83,-0.09,0.94,0.13,-0.87,0.04,-0.43,-0.1,4
UFC 263,Steven Peterson,Chase Hooper,Favorite,-0.13,-3,-4,-0.33,-0.12,2.61,0.17,-0.04,0.02,0.08,-1.6,9
UFC 263,Fares Ziam,Luigi Vendramini,Favorite,-0.42,5,2,-0.12,0.07,-2.1,0.08,-0.31,0.08,-0.33,-0.4,-1
UFC 263,Carlos Felipe,Jake Collier,Favorite,-0.93,-3,-3,-0.92,0.01,0.51,0,-0.71,-0.33,0.04,-0.6,-6
UFC FN,Islam Makhachev,Thiago Moises,Favorite,-4.73,1,0,-0.02,0.19,-2.93,0.05,1.53,0.15,0.34,-0.31,3
UFC FN,Miesha Tate,Marion Reneau,Favorite,-0.46,0,-3,-0.59,0.04,-0.54,-0.08,1.4,-0.32,0.05,0.5,-9
UFC FN,Mateusz Gamrot,Jeremy Stephens,Favorite,-1.45,1,-1,-0.09,0.1,0.02,0.01,4.12,-0.04,0.25,-0.31,-4
UFC FN,Rodolfo Vieira,Dustin Stoltzfus,Favorite,-1.53,0,-2,-0.31,0.1,1.3,0.01,1.77,-0.11,0.54,0.9,2
UFC FN,Gabriel Benitez,Billy Quarantillo,Underdog,-1.07,-2,1,-2.11,-0.16,-1.08,0.2,-1.02,0.27,-0.06,-0.21,0
UFC FN,Daniel Rodriguez,Preston Parsons,Favorite,-1.85,2,3,3.47,-0.06,2.1,0.05,-3.68,0.07,-0.18,-3,9
UFC FN,Amanda Lemos,Montserrat Ruiz,Favorite,-3.93,4,4,2.64,0.27,-0.75,0.07,-1.07,-0.2,0.23,-0.11,6
UFC FN,Khalid Taha,Sergey Morozov,Underdog,-0.83,-1,2,-0.37,-0.11,1.14,-0.15,-3.63,-0.31,-0.08,0.2,-2
UFC FN,Francisco Figueiredo,Malcolm Gordon,Underdog,-2.32,-1,-3,-0.46,0.15,0.58,0.18,0.78,0.4,0.5,-0.6,0
UFC FN,Jared Cannonier,Kelvin Gastelum,Favorite,-0.48,2,6,1.12,0.11,0.89,0.01,-0.52,0.12,0.04,-0.1,8
UFC FN,Mark O. Madsen,Clay Guida,Favorite,-0.77,1,2,0.92,0.15,0.96,-0.09,-0.27,0.3,-0.06,-0.6,-3
UFC FN,Chase Sherman,Parker Porter,Underdog,-1.07,4,3,-0.51,-0.05,0.33,0.01,-1.26,0.24,0.07,-0.5,-5
UFC FN,Trevin Jones,Saidyokub Kakhramonov,Underdog,-0.68,-1,1,0.08,-0.15,3.41,-0.19,-6.01,-0.33,-0.23,-1.7,5
UFC FN,Vinc Pichel,Austin Hubbard,Favorite,-0.34,0,1,-0.5,0.01,-0.7,-0.02,1.02,0.04,-0.4,0.2,9
UFC FN,Alexandre Pantoja,Brandon Royval,Favorite,-0.83,-4,-1,0.08,0.13,0.55,0.03,2.13,-0.13,0.28,-0.31,3
UFC FN,Luis Saldana,Austin Lingo,Underdog,-0.13,1,3,1.3,0.13,-1.22,0.03,0.21,-0.49,-0.31,0.2,4
UFC FN,Brian Kelleher,Domingo Pilarte,Favorite,-0.88,-6,-7,2.08,-0.06,1.67,0.14,0.54,-0.02,0.05,-0.11,3
UFC FN,Bea Malecki,Josiane Nunes,Underdog,-0.71,7,7,0.84,0.02,1.71,0.08,0,0,0.2,1.1,2
UFC FN,William Knight,Fabio Cherant,Favorite,-0.9,-3,-1,1.27,0.16,-1.59,-0.04,1.78,0.4,0.48,0.4,7
UFC FN,Roosevelt Roberts,Ignacio Bahamondes,Underdog,-0.75,-1,-2,-4.11,-0.03,-1.26,-0.05,1.39,0.28,-0.33,0.5,4
UFC FN,Ramiz Brahimaj,Sasha Palatnikov,Favorite,-0.81,-3,0,-4.95,-0.13,-1.76,-0.08,0.89,-0.65,-0.26,1.6,-4
UFC FN,Edson Barboza,Giga Chikadze,Underdog,-0.24,-1,1,0.03,0.01,1.21,-0.06,0.22,0.17,0.03,-0.1,3
UFC FN,Bryan Battle,Gilbert Urbina,Favorite,-1.03,-2,2,-1.1,-0.06,-0.88,0,-1.89,-0.16,0.47,-0.21,1
UFC FN,Ricky Turcios,Brady Hiestand,Favorite,-0.7,1,0,2.15,-0.16,0.05,0.02,-3.06,-0.22,0.03,-0.1,5
UFC FN,Kevin Lee,Daniel Rodriguez,Underdog,-0.56,-4,3,-3.42,-0.09,-1.69,-0.07,2.56,-0.08,0.12,0.7,-6
UFC FN,Andre Petroski,Micheal Gillmore,Favorite,-4.3,1,1,1.46,-0.08,0.06,0.08,4.32,0.54,0.3,2.29,-5
UFC FN,Makhmud Muradov,Gerald Meerschaert,Underdog,-5.33,1,-2,1.02,-0.03,-0.81,0.07,0.85,0.28,0.43,-1.4,-2
UFC FN,Alessio Di Chirico,Abdul Razak Alhassan,Underdog,-1.67,2,1,-0.06,-0.09,-0.56,0.05,0.56,0.01,0.32,-0.2,-4
UFC FN,Wellington Turman,Sam Alvey,Favorite,-0.29,-2,-3,-0.05,0.07,0.54,-0.08,1.49,0.06,-0.4,0.7,-11
UFC FN,Dustin Jacoby,Darren Stewart,Favorite,-1.24,3,2,2.48,0.01,0.78,0.08,-1.39,-0.2,-0.08,-0.1,3
UFC FN,J.J. Aldrich,Vanessa Demopoulos,Favorite,-3.27,3,8,-0.11,0.05,-1.32,0.19,0.24,0.12,0.36,-0.6,-4
UFC FN,Jamall Emmers,Pat Sabatini,Underdog,-0.58,2,4,3.28,-0.11,2.5,0.07,-1.9,-0.02,0.4,-1.7,1
UFC FN,Mana Martinez,Guido Cannetti,Favorite,-2.02,4,2,0.89,-0.08,2.1,-0.02,-1.55,-0.14,-0.39,0.09,-16
UFC FN,Darren Till,Derek Brunson,Underdog,-0.95,-1,-3,-1.21,-0.01,0.26,0.05,-2.59,0.13,-0.17,-0.6,-9
UFC FN,Tom Aspinall,Sergey Spivak,Favorite,-1.72,2,0,4.18,0.17,-1.02,0.17,-1.1,0.36,0.3,1.2,2
UFC FN,Alex Morono,David Zawada,Favorite,-0.68,-1,-3,1.03,-0.01,-0.38,0.02,-0.65,-0.12,-0.02,-1.3,0
UFC FN,Modestas Bukauskas,Khalil Rountree,Underdog,-0.64,2,2,-0.57,0.01,-0.31,0,0,0,0.13,-0.1,-4
UFC FN,Paddy Pimblett,Luigi Vendramini,Favorite,-0.51,2,0,2.31,0.12,-0.12,-0.16,-0.14,0.1,-0.44,1,1
UFC FN,Ji Yeon Kim,Molly McCann,Underdog,-0.12,3,10,-0.42,-0.13,0.46,-0.07,-1.82,-0.38,0.07,-0.5,0
UFC FN,Jack Shore,Liudvik Sholinian,Favorite,-3.78,-2,0,1.25,0.27,-3.35,0.01,3.1,0.38,0.09,0.7,-5
UFC FN,Charles Jourdain,Julian Erosa,Underdog,-1.07,-4,-5,-0.59,0,-1.99,0.09,-1.54,-0.36,-0.1,-0.21,-6
UFC FN,Marc-Andre Barriault,Dalcha Lungiambula,Favorite,-0.8,5,-2,3.12,0.01,1.73,0,-1.93,-0.2,-0.1,0.1,-2
UFC 266,Alex Volkanovski,Brian Ortega,Favorite,-1.05,3,4,-0.04,0.01,4.37,-0.09,-1.17,-0.27,-0.57,-1.2,4
UFC 266,Valentina Shevchenko,Lauren Murphy,Favorite,-9.72,0,-1,-0.77,0.13,-3.14,0.06,1.53,0.38,0.02,0.3,-4
UFC 266,Robbie Lawler,Nick Diaz,Favorite,-0.68,-2,-2,-1.86,0.04,0.83,0,-0.63,0.32,0.05,-1,2
UFC 266,Curtis Blaydes,Jairzinho Rozenstruik,Favorite,-2.42,2,2,0.08,0.01,-0.95,0.12,5.72,0.53,-0.44,0,-3
UFC 266,Jessica Andrade,Cynthia Calvillo,Favorite,-1.82,-3,-2,2.21,0.12,1.25,-0.09,0.57,0.11,-0.06,-0.5,-4
UFC 266,Merab Dvalishvili,Marlon Moraes,Favorite,-1.66,0,1,1.12,0,-2.16,0.02,5.56,-0.05,0.34,0,-3
UFC 266,Daniel Hooker,Nasrat Haqparast,Favorite,-0.62,2,3,-0.71,0.03,-0.5,-0.13,0.48,0.14,0.02,0.4,6
UFC 266,Chris Daukaus,Shamil Abdurakhimov,Favorite,-1.24,0,0,3.63,0.06,1.61,0,-1.01,-0.23,0.55,-0.1,-8
UFC 266,Taila Santos,Roxanne Modafferi,Favorite,-3.3,-1,-1,0.04,0.18,-3.06,0.06,0.64,0.53,0.56,1,-11
UFC 266,Uros Medic,Jalin Turner,Underdog,-0.19,-2,-6,-0.09,0.12,-1.39,0.17,-0.41,-0.06,-0.19,-1.11,2
UFC 266,Nick Maximov,Cody Brundage,Favorite,-0.44,0,4,0.3,-0.1,0.34,0.03,1.83,-0.08,-0.34,-0.7,-4
UFC 266,Matt Semelsberger,Martin Sano,Favorite,-3.78,2,0,-0.23,0.09,-7.79,0.14,1.02,0.56,0.45,0.4,-1
UFC 266,Omar Morales,Jonathan Pearce,Underdog,-0.8,-1,2,-1.91,-0.15,-0.25,0.03,-4.78,0.5,0.05,-0.8,6
UFC FN,Thiago Santos,Johnny Walker,Favorite,-0.83,-4,-6,-0.09,-0.06,-0.27,0.09,0.42,-0.67,0.08,-0.8,8
UFC FN,Niko Price,Alex Oliveira,Favorite,-0.73,1,0,2.46,-0.1,3.05,0.01,-1.65,-0.18,0.01,0.09,-2
UFC FN,Krzysztof Jotko,Misha Cirkunov,Favorite,-0.72,-2,0,-0.88,-0.1,-0.83,0,-2.82,0,0.05,-1.6,-3
UFC FN,Joe Solecki,Jared Gordon,Underdog,-0.45,0,2,-3.18,-0.01,-1.87,-0.05,0.7,0.09,-0.12,1.5,-5
UFC FN,Casey O'Neill,Antonina Shevchenko,Favorite,-1.38,-2,2,4.55,-0.02,3.36,0.04,1.34,-0.04,0.13,0.29,-13
UFC FN,Karol Rosa,Bethe Correia,Favorite,-3.49,0,3,1.96,0.13,-0.15,-0.08,0.83,0.27,-0.17,0,-11
UFC FN,Devonte Smith,Jamie Mullarkey,Underdog,-0.67,-3,2,0.16,0.07,-0.63,-0.05,-1.96,-0.1,0.06,0.2,1
UFC FN,Stephanie Egger,Shanna Young,Favorite,-0.2,-1,3,-0.98,-0.01,-2.4,0.09,2.48,0.42,-0.04,0,2
UFC FN,Alejandro Perez,Johnny Eduardo,Favorite,-1.48,-1,-4,0.5,-0.05,-0.05,-0.03,0.32,0.01,0.12,-0.11,-11
UFC FN,Marvin Vettori,Paulo Costa,Favorite,-1.08,-1,2,-1.65,-0.13,-2.14,0.09,1.21,-0.3,-0.12,0.5,-3
UFC FN,Jessica-Rose Clark,Joselyne Edwards,Favorite,-0.76,-3,-6,-0.98,-0.02,0.14,0.07,0.65,0.08,-0.03,0,8
UFC FN,Seung Woo Choi,Alex Caceres,Underdog,-2.07,2,1,-0.73,-0.11,-0.07,-0.16,0.32,-0.15,0.04,-0.7,-4
UFC FN,Francisco Trinaldo,Dwight Grant,Favorite,-0.45,-4,-6,-0.17,0.09,0,0,0.37,-0.59,-0.07,0.5,6
UFC FN,Nick Negumereanu,Ike Villanueva,Favorite,-1.61,-1,0,-3.66,-0.38,-7.24,-0.36,-0.6,-0.5,-1,0,
UFC FN,Gregory Rodrigues,Jun Yong Park,Favorite,-0.39,5,2,1.54,0.05,2,-0.03,0.62,-0.05,0.43,-0.61,-1
UFC FN,Mason Jones,David Onama,Favorite,-3.24,-1,0,0.57,-0.04,-0.16,-0.06,2.49,0.28,0.28,-0.5,0
UFC FN,Tabatha Ricci,Maria Oliveira,Favorite,-1.88,-5,-8,-0.75,-0.02,-0.82,0.15,2.04,-0.1,0.3,0.2,2
UFC FN,Laureano Staropoli,Jamie Pickett,Underdog,-1.48,-1,-9,0.66,-0.13,0.1,0.04,-0.44,-0.15,-0.2,-0.1,-4
UFC FN,Jai Herbert,Khama Worthy,Favorite,-0.99,2,3,-1.49,-0.08,-1.31,-0.02,0.2,0.1,0,-0.7,-1
UFC FN,Jeff Molina,Daniel Lacerda,Favorite,-0.83,0,-1,3.3,0.02,-3.24,0.21,-2.32,-0.5,0.66,-1.2,-1
UFC FN,Livia Renata Souza,Randa Markos,Underdog,-0.38,-1,0,1.81,0.25,-1.08,0.02,-0.23,0.21,-0.03,-0.2,-9
UFC FN,Zviad Lazishvili,Jonathan Martinez,Underdog,-0.15,-2,-1,-0.34,-0.1,2.25,-0.06,-0.41,-0.35,-0.68,-0.1,2
UFC 267,Jan Blachowicz,Glover Teixeira,Underdog,-2.32,0,2,-0.32,0.01,-1.52,0.02,-1.02,0.17,0.08,-0.61,-3
UFC 267,Petr Yan,Cory Sandhagen,Favorite,-1.5,-4,-3,-0.2,0.09,0.96,0,0.36,0.18,0.2,-0.2,-1
UFC 267,Islam Makhachev,Daniel Hooker,Favorite,-4.8,-2,-5,-2.62,0.12,-3.49,0.09,2.38,0.25,0.09,0.6,-2
UFC 267,Alexander Volkov,Marcin Tybura,Favorite,-2.19,4,2,1.49,0.08,-0.36,-0.02,-0.94,0.3,-0.07,0.1,-3
UFC 267,Khamzat Chimaev,Li Jingliang,Favorite,-4.67,2,4,1.25,0.15,-0.38,-0.15,2.74,0.05,0.4,2.7,-6
UFC 267,Magomed Ankalaev,Volkan Oezdemir,Favorite,-2.31,1,0,-0.95,0.06,-1.67,0.03,0.45,-0.03,0.05,-0.1,-3
UFC 267,Amanda Ribas,Virna Jandiroba,Favorite,-0.79,0,2,2.33,0.02,0.43,0.04,-0.3,0.15,0.12,-0.5,-5
UFC 267,Zubaira Tukhugov,Ricardo Ramos,Favorite,-0.86,-1,-4,-0.05,0.02,-0.68,0.06,-0.9,-0.21,0.28,-0.7,5
UFC 267,Albert Duraev,Roman Kopylov,Favorite,-3.21,-1,0,-1.67,-0.15,-1.09,-0.02,1.55,-0.22,-0.21,0.6,2
UFC 267,Elizeu Zaleski dos Santos,Benoit Saint-Denis,Favorite,-1.8,0,0,-1.19,-0.13,-1.66,0.14,-4.33,-0.24,-0.01,-1.11,9
UFC 267,Shamil Gamzatov,Michal Oleksiejczuk,Underdog,-0.14,2,2,0.29,-0.03,-0.8,-0.1,-0.75,-0.44,0.02,0,4
UFC 267,Lerone Murphy,Makwan Amirkhani,Favorite,-2.19,-1,1,3.68,0.1,-0.38,0.13,-2.37,0.09,0.11,-0.51,-3
UFC 267,Andre Petroski,Hu Yaozong,Favorite,-1.52,-3,1,0.14,0.01,-2.01,0.16,4.32,0.54,0.47,1.9,3
UFC 267,Tagir Ulanbekov,Allan Nascimento,Favorite,-2.92,-1,1,0.01,-0.16,1.02,0.01,2.16,0.2,0.44,1.2,0
UFC FN,Max Holloway,Yair Rodriguez,Favorite,-4.82,0,-2,2.51,0.01,0.72,0.06,-0.44,0.26,0.26,-0.4,1
UFC FN,Ben Rothwell,Marcos Rogerio de Lima,Underdog,-0.85,3,3,0,-0.15,1.73,-0.05,-0.72,-0.11,0.1,-0.1,4
UFC FN,Felicia Spencer,Leah Letson,Favorite,-2.7,-1,-3,0.14,0.07,0.7,-0.08,0.67,-0.32,-0.49,0.2,2
UFC FN,Miguel Baeza,Kalinn Williams,Underdog,-0.68,-1,-5,2,-0.04,3.39,-0.07,-4.31,-0.22,0,1.6,-3
UFC FN,Yadong Song,Julio Arce,Favorite,-0.48,1,-3,0.12,0.07,0.91,-0.13,0.2,0.12,-0.24,-0.1,-8
UFC FN,Thiago Moises,Joel Alvarez,Underdog,-1.93,-6,-7,-1.18,-0.06,0.82,0.05,1.64,0.44,0.45,0,-2
UFC FN,Cynthia Calvillo,Andrea Lee,Underdog,-0.23,-2,-5,-0.29,-0.09,0.36,0.02,-0.06,-0.14,0.21,0.2,1
UFC FN,Sean Woodson,Collin Anglin,Favorite,-2.82,5,7,0.99,-0.02,-1.35,0.06,-1.62,-0.05,-0.17,0.4,0
UFC FN,Cortney Casey,Liana Jojua,Favorite,-2.54,3,5,1.87,0.09,-1.33,0.01,-1.32,-0.35,-0.11,-0.8,8
UFC FN,Marc Diakiese,Rafael Alves,Underdog,-2.01,2,5,0.69,-0.08,-0.66,-0.06,3,0.18,0.22,-1.5,-2
UFC FN,Da Un Jung,Kennedy Nzechukwu,Favorite,-0.21,-2,-8,-5.13,-0.45,-4.91,-0.5,-0.6,-0.45,-0.8,-0.2,8
UFC FN,Miesha Tate,Ketlen Vieira,Underdog,-0.02,-2,-3,-0.42,0.04,-0.94,0,0.51,-0.13,-0.37,0.7,5
UFC FN,Sean Brady,Michael Chiesa,Favorite,-1.13,-3,-3,1.9,0.13,1.85,0.06,-0.05,0.06,0.27,0.19,-5
UFC FN,Taila Santos,Joanne Wood,Favorite,-3.32,0,3,-3.71,-0.04,-2.25,0.06,0.48,0.2,0.28,0.8,-8
UFC FN,Kyung Ho Kang,Rani Yahya,Underdog,-0.18,3,6,1.64,0.09,1.25,0.05,-0.86,0.26,0.39,-1,-3
UFC FN,Adrian Yanez,Davey Grant,Favorite,-2.07,-1,1,1.74,-0.02,1.93,0.01,-1.26,-0.41,0.39,-0.2,-8
UFC FN,Tucker Lutz,Pat Sabatini,Underdog,-0.15,0,2,1.72,-0.13,1.71,-0.05,-1.74,0.02,0.18,-1.7,-4
UFC FN,Rafa Garcia,Natan Levy,Favorite,-0.09,-2,-1,0.49,-0.11,1.02,0.03,-1.43,-0.14,0.38,-0.2,-3
UFC FN,Lupita Godinez,Loma Lookboonmee,Favorite,-0.67,1,0,0.03,-0.09,1.1,0.09,1.14,-0.04,0.12,0.9,2
UFC FN,Cody Durden,Qileng Aori,Favorite,-0.8,0,-2,-2.15,0.01,-3.14,0.04,3.38,0.03,0.08,0.3,3
UFC FN,Sean Soriano,Yilan Sha,Underdog,-2.07,1,1,0.9,0.15,-0.8,0.06,-1.57,0.22,0.12,0,4
UFC FN,Luana Pinheiro,Sam Hughes,Favorite,-3.22,-3,-2,-0.47,-0.05,-0.34,0.06,1.28,0.03,0.09,0.2,0
UFC Fight Night: Kattar vs. Chikadze,Giga Chikadze,Calvin Kattar,Underdog,-1.35,1,2,-0.68,0.03,-3.31,0.07,-0.16,0.04,-0.04,0.1,-1
UFC Fight Night: Kattar vs. Chikadze,Jake Collier,Chase Sherman,Favorite,-0.51,-1,0,-0.25,-0.02,-1.58,-0.03,0.62,-0.17,-0.07,0.6,1
UFC Fight Night: Kattar vs. Chikadze,Brandon Royval,Rogerio Bontorin,Favorite,-0.84,4,1,1.7,-0.17,0.14,-0.04,-2.43,0,-0.11,0.1,-1
UFC Fight Night: Kattar vs. Chikadze,Katlyn Chookagian,Jennifer Maia,Favorite,-1.5,7,8,-2.05,0.08,-1.34,-0.02,0.59,0.23,-0.58,-0.1,6
UFC Fight Night: Kattar vs. Chikadze,Viacheslav Borshchev,Dakota Bush,Favorite,-1.32,1,-4,2.4,0.19,0.07,0.13,-2.4,-0.33,0.35,0,3
UFC Fight Night: Kattar vs. Chikadze,Joanderson Brito,Bill Algeo,Underdog,-0.76,-4,-1,-2.81,-0.02,-1.87,-0.01,2.25,0.3,0.05,0.5,-5
UFC Fight Night: Kattar vs. Chikadze,Joseph Holmes,Jamie Pickett,Underdog,-0.87,2,0,0.23,0.06,-0.54,0.04,0.23,0,-0.18,0.7,-7
UFC Fight Night: Kattar vs. Chikadze,Ramiz Brahimaj,Court McGee,Underdog,-0.17,-1,-3,-2.86,0.03,0.06,-0.16,-0.23,0.09,-0.25,1.2,-8
UFC Fight Night: Kattar vs. Chikadze,Brian Kelleher,Kevin Croom,Favorite,-3.55,-5,-7,0.74,0.06,1.53,0.13,1.26,0.36,0.3,0.19,1
UFC Fight Night: Kattar vs. Chikadze,T.J. Brown,Charles Rosa,Favorite,-1.5,0,3,0.29,0.08,-0.97,0.02,1.74,0.21,-0.03,0.3,-3
UFC 270,Ciryl Gane,Francis Ngannou,Underdog,-0.6,0,-2,3.16,0.19,0.02,0.22,-0.19,-0.41,-0.21,0.2,-3
UFC 270,Brandon Moreno,Deiveson Figueiredo,Underdog,-1.09,2,2,0.86,-0.12,0.25,0.08,0.09,0.04,0.05,-1.2,-6
UFC 270,Michel Pereira,Andre Fialho,Favorite,-2.14,1,-1,1.86,0.13,-2.56,0.12,1.28,-0.45,0.27,0.8,0
UFC 270,Said Nurmagomedov,Cody Stamann,Favorite,-1.11,2,6,-0.84,0,-1.5,-0.06,-1.33,-0.23,-0.1,1.4,-2
UFC 270,Trevin Giles,Michael Morales,Underdog,-0.09,0,-5,-2.02,0.09,-1.38,0.05,-0.06,0.09,-0.21,0.3,7
UFC 270,Raoni Barcelos,Victor Henry,Underdog,-4.03,0,-1,-3.12,-0.04,-0.83,0.14,1.86,0.32,0.02,0.09,0
UFC 270,Jack Della Maddalena,Pete Rodriguez,Favorite,-2.65,2,2,-2.54,0.1,-8.56,0.24,0.21,0.16,-0.31,0.2,0
UFC 270,Tony Gravely,Saimon Oliveira,Favorite,-1.95,1,-3,1,0.07,0.55,-0.04,4.19,0.15,0.17,-1.3,-1
UFC 270,Matt Frevola,Genaro Valdez,Favorite,-1.38,0,-1,-0.38,0.12,-3.6,0.1,1.04,-0.04,0.06,0.5,1
UFC 270,Vanessa Demopoulos,Silvana Gomez Juarez,Favorite,-0.53,-1,-6,-0.28,0.08,1.65,-0.2,0.42,0.11,0,0.6,-4
UFC 270,Kay Hansen,Jasmine Jasudavicius,Underdog,-1.18,-5,-5,-0.95,0.04,-0.85,0,-0.34,-0.15,-0.44,0.4,-11
UFC 271,Israel Adesanya,Robert Whittaker,Favorite,-2.29,4,7,-0.65,0.06,-0.35,-0.03,-0.76,-0.24,-0.05,0.1,1
UFC 271,Derrick Lewis,Tai Tuivasa,Underdog,-1.03,1,4,-1.48,0.01,-2.57,-0.03,0.56,0.26,-0.05,0,8
UFC 271,Jared Cannonier,Derek Brunson,Favorite,-0.85,-2,0,1.17,0.05,1.08,0.07,-2.7,0.08,-0.22,-0.6,0
UFC 271,Renato Moicano,Alexander Hernandez,Favorite,-0.83,2,0,0.04,0.07,-0.98,0.04,0.82,0.14,0.13,0.5,4
UFC 271,Bobby Green,Nasrat Haqparast,Favorite,-0.69,0,-1,0.67,0.08,-1.5,-0.03,0.87,0.18,-0.05,0.3,9
UFC 271,Andrei Arlovski,Jared Vanderaa,Favorite,-0.81,-1,-3,-1.19,0.01,-2.47,0.11,0.2,-0.15,0.56,0.2,13
UFC 271,Casey O'Neill,Roxanne Modafferi,Favorite,-3.01,-1,0,5.06,0.24,0.59,0.05,0.41,0.15,0.36,0.6,-15
UFC 271,Kyler Phillips,Marcelo Rojo,Favorite,-3.71,0,1,0.79,0.06,-3.04,0.05,1.95,-0.04,0.08,0.5,-7
UFC 271,Carlos Ulberg,Fabio Cherant,Favorite,-1.9,3,3,6.06,0.18,-1.29,0.14,0.95,0.75,0.75,0.3,4
UFC 271,Ronnie Lawrence,Mana Martinez,Favorite,-2.42,-2,-2,-1.56,0.08,-3.2,0.02,6.03,0.35,0.2,-0.3,3
UFC 271,AJ Dobson,Jacob Malkoun,Underdog,-0.32,4,3,0.43,-0.11,2.82,-0.06,-4.95,0.33,0.45,-0.11,4
UFC 271,Sergey Morozov,Douglas Silva de Andrade,Underdog,-1.52,-1,-1,-0.66,0.04,-1.02,0.03,3.02,-0.16,-0.02,-0.2,-4
UFC 271,Jeremiah Wells,Mike Mathetha,Favorite,-1.55,-1,4,0.73,0.03,-1.69,-0.06,0.5,0.17,0.8,-0.2,-5
UFC 271,Maxim Grishin,William Knight,Favorite,-0.88,5,5,0.63,-0.05,-1.03,0.23,-1.57,-0.25,0.18,-0.4,4
UFC Fight Night: Green vs. Makhachev,Islam Makhachev,Bobby Green,Favorite,-6.47,0,-1,-3.99,0.07,-2.48,-0.02,1.98,0.21,0.16,0.7,-5
UFC Fight Night: Green vs. Makhachev,Misha Cirkunov,Wellington Turman,Underdog,-0.51,3,5,0.62,0,-1.11,0.11,2.6,0.19,0.34,0.89,10
UFC Fight Night: Green vs. Makhachev,Ji Yeon Kim,Priscila Cachoeira,Underdog,-1.38,0,7,1.61,-0.09,-1.62,0.13,-0.15,-0.33,-0.16,0.1,-1
UFC Fight Night: Green vs. Makhachev,Arman Tsarukyan,Joel Alvarez,Favorite,-1.55,-8,-5,0.14,0.01,-1.53,0.03,3.25,0.37,0.64,-1.3,-4
UFC Fight Night: Green vs. Makhachev,Gregory Rodrigues,Armen Petrosyan,Underdog,-0.94,0,4,0.38,0.03,2.4,-0.06,2.23,0.12,0.69,0.5,-1
UFC Fight Night: Green vs. Makhachev,Ignacio Bahamondes,Zhu Rong,Favorite,-1.75,6,3,1.68,-0.04,-1.22,0.11,-2.09,-0.62,0,0.2,2
UFC Fight Night: Green vs. Makhachev,Josiane Nunes,Ramona Pascual,Favorite,-1.47,-5,1,2.12,-0.13,-3.18,0.07,-1.81,-0.19,-0.43,0,-5
UFC Fight Night: Green vs. Makhachev,Fares Ziam,Terrance McKinney,Underdog,-0.31,3,2,-1.83,-0.03,-0.91,0.2,-2.64,-0.13,-0.18,-0.8,-2
UFC Fight Night: Green vs. Makhachev,Jonathan Martinez,Alejandro Perez,Favorite,-2.19,2,3,1.08,0.14,0.69,-0.05,-0.14,0.12,-0.02,-0.2,-4
UFC Fight Night: Green vs. Makhachev,Ramiz Brahimaj,Micheal Gillmore,Favorite,-3.01,-1,0,-0.31,-0.16,0.67,0.02,1.61,0.35,-0.06,1.6,-6
UFC Fight Night: Green vs. Makhachev,Carlos Hernandez,Victor Altamirano,Favorite,-0.58,0,-3,0.4,-0.11,0.83,-0.09,-2.33,-0.25,0.02,0.3,-3
UFC 272,Colby Covington,Jorge Masvidal,Favorite,-2.42,0,-2,-0.17,-0.09,-0.07,-0.09,2.41,-0.15,-0.05,-0.1,-3
UFC 272,Rafael dos Anjos,Renato Moicano,Favorite,-1.08,-3,-2,-0.9,-0.02,-0.48,0,0.06,-0.11,-0.17,0,4
UFC 272,Bryce Mitchell,Edson Barboza,Favorite,-0.93,-1,-5,-1.82,0.13,-3.03,0.01,3,-0.1,-0.39,1.5,-9
UFC 272,Kevin Holland,Alex Oliveira,Favorite,-3.99,4,5,1.25,-0.03,0.64,0.03,-1.5,0,-0.09,0,-5
UFC 272,Sergey Spivak,Greg Hardy,Favorite,-1.05,-2,-2,-1.25,-0.02,0.48,-0.07,4.35,0.31,0.05,0.5,-6
UFC 272,Jalin Turner,Jamie Mullarkey,Favorite,-0.75,3,3,1.21,0.01,0.04,-0.13,-1.52,0.21,-0.05,1,0
UFC 272,Marina Alcalde Rodriguez,Yan Xiaonan,Favorite,-2.24,8,11,2.33,0.06,1.62,-0.02,-0.38,-0.23,0.01,0.1,3
