,Unnamed: 0,name,height,weight,reach,STANCE,SLPM,Str Acc,SApm,Str. Def,TD Avg,TD Acc,TD Def,Sub Avg,age
157,157,Scott Jorgensen,65.0,135,66.0, Orthodox,3.37,0.4,3.41,0.65,2.61,0.45,0.59,0.7,41.0
158,158,Felipe Pena,, --,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0
159,159,Dan Barrera,69.0,170,69.0, Orthodox,0.8,0.7,1.2,0.28,1.0,0.08,0.0,0.0,43.0
160,160,Talita Alencar,61.0,115,58.0, Orthodox,2.37,0.28,4.8,0.48,2.5,0.15,0.5,0.0,33.0
161,161,Mark Madsen,68.0,155,72.0, Orthodox,3.56,0.49,3.97,0.52,2.86,0.66,0.62,0.0,39.0
162,162,Murtaza Talha,72.0,205,74.0, Orthodox,4.91,0.58,8.29,0.3,0.0,0.0,1.0,0.0,27.0
163,163,Luke Caudillo,67.0,155,67.0, Orthodox,1.97,0.28,5.07,0.55,0.44,0.2,0.85,0.0,43.0
164,164,Stanislav Nedkov,71.0,205,71.0, Orthodox,3.33,0.43,5.39,0.43,2.77,0.41,0.0,0.0,42.0
165,165,Troy Mandaloniz,69.0,170,69.0, Orthodox,3.52,0.56,4.71,0.63,3.1,0.66,0.57,0.0,44.0
166,166,Marion Reneau,66.0,135,68.0, Orthodox,3.2,0.41,3.52,0.59,0.62,0.63,0.5,0.8,46.0
167,167,Olivier Murad,70.0,145,72.0, Southpaw,2.6,0.36,2.2,0.61,1.0,1.0,0.55,0.0,30.0
168,168,Stefan Klever,,185,, Orthodox,0.82,0.5,3.84,0.58,0.0,0.0,0.0,0.0,
169,169,Gilbert Rael,68.0,155,68.0,,0.0,0.0,7.46,0.37,4.86,1.0,0.0,0.0,
170,170,Danny Roberts,73.0,170,74.0, Southpaw,3.18,0.39,3.73,0.5,0.24,0.09,0.57,0.2,36.0
171,171,Ronald Jhun,71.0,170,71.0, Orthodox,1.45,0.57,3.01,0.5,1.81,1.0,1.0,0.0,53.0
172,172,Cameron Olson,73.0,205,75.0, Orthodox,3.13,0.47,2.2,0.57,3.0,0.42,1.0,1.0,34.0
173,173,Cung Le,69.0,185,70.0, Southpaw,4.36,0.48,2.98,0.66,1.37,0.71,0.88,0.3,51.0
174,174,Rafael Freitas,,205,69.0, Orthodox,2.0,0.29,8.0,0.51,11.25,0.5,0.0,0.0,
175,175,Derrick Mehmen,76.0,205,78.0,,1.93,0.14,4.53,0.48,1.0,0.16,0.0,0.0,38.0
176,176,Carlo Pedersoli Jr.,71.0,170,75.0, Southpaw,4.17,0.37,4.12,0.61,2.91,0.44,0.0,0.0,30.0
177,177,Jaimelene Nievera,65.0,125,66.0, Orthodox,1.67,0.53,8.73,0.33,1.79,0.16,0.0,0.0,39.0
178,178,Mats Nilsson,73.0,170,75.0, Orthodox,2.99,0.39,5.62,0.63,3.87,0.83,0.44,2.3,40.0
179,179,Chris Liguori,69.0,185,70.0, Orthodox,0.29,0.33,1.44,0.0,0.0,0.0,0.5,0.0,
180,180,Landon Showalter,72.0,185,72.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0
181,181,TJ Cook,71.0,205,72.0,,2.3,0.47,3.18,0.54,1.01,0.5,0.0,0.0,41.0
182,182,Tiago dos Santos e Silva,69.0,145,70.0, Orthodox,3.69,0.35,4.23,0.59,0.63,0.11,0.33,0.3,37.0
183,183,Craig White,74.0,170,76.0, Orthodox,1.23,0.4,3.28,0.39,0.0,0.0,0.5,0.8,33.0
184,184,John Adajar,69.0,170,75.0, Orthodox,3.9,0.52,6.28,0.44,0.0,0.0,0.0,0.0,32.0
185,185,Donald Sanchez,70.0,145,70.0,,0.58,0.5,1.16,0.55,0.0,0.0,0.5,0.0,39.0
186,186,Derek Getzel,72.0,155,76.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
187,187,Nate Landwehr,69.0,145,72.0, Orthodox,6.25,0.46,5.75,0.55,1.0,0.41,0.86,1.0,35.0
188,188,Kyoji Horiguchi,65.0,125,66.0, Orthodox,3.6,0.45,2.45,0.62,2.0,0.44,0.55,0.0,33.0
189,189,Tony Sylvester,73.0,225,73.0, Southpaw,0.0,0.0,10.12,0.12,0.0,0.0,0.0,0.0,46.0
190,190,Jonathan Pearce,72.0,145,71.0, Switch,5.32,0.54,3.43,0.54,5.24,0.5,0.58,0.8,32.0
191,191,SangHoon Yoo,72.0,170,74.0, Orthodox,4.83,0.65,6.11,0.4,0.53,1.0,0.69,0.5,34.0
192,192,Brandon Melendez,71.0,155,70.0, Southpaw,0.84,0.26,0.56,0.63,0.0,0.0,0.25,0.0,41.0
193,193,Katsuaki Furuki,72.0,168,72.0,,0.27,0.1,2.67,0.39,0.0,0.0,0.0,3.0,43.0
194,194,George Stork,70.0,185,70.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
195,195,Brandon Sene,71.0,205,73.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0
196,196,Chris Barnett,69.0,265,75.0, Orthodox,4.41,0.48,5.87,0.4,0.0,0.0,0.33,0.0,37.0
197,197,Lucas Fernando,75.0,185,80.0,,1.87,0.51,4.73,0.38,3.0,0.3,0.0,1.0,27.0
198,198,Caio Borralho,73.0,185,75.0, Southpaw,2.91,0.6,2.06,0.6,1.99,0.63,0.76,0.5,31.0
199,199,Brett Tillis,,145,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
200,200,Steven Ciaccio,72.0,170,72.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
201,201,Cody Pfister,70.0,155,73.0, Orthodox,1.41,0.25,2.8,0.51,2.82,0.3,0.0,0.0,33.0
202,202,Moise Rimbon,70.0,205,72.0, Orthodox,0.8,0.34,1.0,0.71,1.0,0.5,0.37,0.0,47.0
203,203,Constantinos Philippou,71.0,185,73.0, Orthodox,2.19,0.35,2.73,0.54,0.4,0.42,0.65,0.3,44.0
204,204,Brandon Wolff,69.0,170,69.0, Orthodox,0.47,0.33,10.91,0.19,0.0,0.0,0.0,0.0,48.0
205,205,Cristina Stanciu,63.0,115,64.0, Orthodox,2.5,0.5,3.07,0.52,0.85,1.0,0.4,1.7,30.0
206,206,Khadzhi Bestaev,78.0,185,76.0,,6.15,0.29,10.0,0.43,0.0,0.0,0.0,0.0,35.0
207,207,Joey Villasenor,72.0,185,72.0, Orthodox,2.05,0.38,3.26,0.52,0.71,0.4,0.53,1.1,48.0
208,208,Tom Duquesnoy,67.0,135,68.0, Orthodox,3.83,0.45,5.3,0.62,0.42,0.25,0.46,0.0,30.0
209,209,Jared Gordon,69.0,155,68.0, Orthodox,5.39,0.57,3.4,0.57,1.95,0.4,0.62,0.0,35.0
210,210,Gabriel Carrasco,66.0,135,70.0,,4.15,0.37,1.53,0.8,0.0,0.0,1.0,0.0,
211,211,Keith Mielke,68.0,185,68.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
212,212,Bob Cook,69.0,170,69.0, Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
213,213,Joachim Christensen,75.0,205,76.0, Orthodox,3.78,0.41,3.29,0.46,0.0,0.0,0.0,0.0,45.0
214,214,Ron Henderson,70.0,125,63.0,,2.53,0.25,3.6,0.48,1.0,0.2,0.0,0.0,
215,215,Renzo Gracie,70.0,185,70.0, Orthodox,1.71,0.41,1.67,0.55,1.13,0.2,0.4,0.8,57.0
